id,consumption,hodge_id,hodge_s,excluded,local_inconsistency,global_inconsistency,self_assessed_wealth,hamlet,ranking_meeting,nhhrank,quota_final,maintreatment,elite_meeting,ranking_meeting_norm,HodgeCBT_targets,tradCBT_targets
250,554.1683,0,-0.0625,250,0.3361010754,0.0,2.0,6,9,131,81,Hybrid,1.0,0.06870229007633588,Excluded,Included
318,570.0059,1,0.0,318,0.2162758574,0.0,2.0,6,83,131,81,Hybrid,1.0,0.6335877862595419,Excluded,Excluded
383,502.2143,2,-0.6761904762,383,0.2199550095,0.0,3.0,6,3,131,81,Hybrid,1.0,0.022900763358778626,Included,Included
548,192.6838,3,-0.4523809524,548,0.3105265805,0.0,2.0,6,20,131,81,Hybrid,1.0,0.15267175572519084,Included,Included
591,388.4286,4,0.1702380952,591,0.2595905916,0.0,2.0,6,61,131,81,Hybrid,1.0,0.46564885496183206,Excluded,Included
636,946.9839,5,0.625,636,0.2558710583,0.0,2.0,6,91,131,81,Hybrid,1.0,0.6946564885496184,Excluded,Excluded
739,499.4603,6,0.25,739,0.2450805009,0.0,2.0,6,39,131,81,Hybrid,1.0,0.29770992366412213,Excluded,Included
887,251.7262,7,0.4791666667,887,0.2288367452,0.0,2.0,6,103,131,81,Hybrid,1.0,0.7862595419847328,Excluded,Excluded
899,117.2881,8,-0.3333333333,899,0.2531838734,0.0,2.0,6,35,131,81,Hybrid,1.0,0.26717557251908397,Included,Included
304,230.381,0,-0.625,304,0.1652042076,0.0,2.0,7,5,51,29,Hybrid,1.0,0.09803921568627451,Included,Included
401,277.8661,1,-0.3916666667,401,0.2678327878,0.0,2.0,7,2,51,29,Hybrid,1.0,0.0392156862745098,Included,Included
453,672.2649,2,0.5416666667,453,0.2490686845,0.0,3.0,7,44,51,29,Hybrid,1.0,0.8627450980392157,Excluded,Excluded
488,298.7292,3,0.4166666667,488,0.1404544254,0.0,2.0,7,32,51,29,Hybrid,1.0,0.6274509803921569,Excluded,Excluded
549,541.3333,4,-0.1666666667,549,0.2827962948,0.0,1.0,7,6,51,29,Hybrid,1.0,0.11764705882352941,Excluded,Included
566,406.2044,5,-0.075,566,0.268981754,0.0,3.0,7,19,51,29,Hybrid,1.0,0.37254901960784315,Excluded,Included
791,526.3214,6,0.0,791,0.3249679539,0.0,2.0,7,31,51,29,Hybrid,1.0,0.6078431372549019,Excluded,Excluded
894,1319.428,7,-0.225,894,0.2575332866,0.0,1.0,7,33,51,29,Hybrid,1.0,0.6470588235294118,Excluded,Excluded
962,630.7858,8,0.525,962,0.2514411408,0.0,3.0,7,40,51,29,Hybrid,1.0,0.7843137254901961,Excluded,Excluded
212,286.004,0,0.0835978836,212,0.2735933209,0.0,2.0,8,29,106,57,Full community,0.0,0.27358490566037735,Excluded,Included
261,899.7916,1,0.7619047619,261,0.1559980571,0.0,3.0,8,105,106,57,Full community,0.0,0.9905660377358491,Excluded,Excluded
408,303.9048,2,-0.1476190476,408,0.1570266551,0.0,2.0,8,13,106,57,Full community,0.0,0.12264150943396226,Excluded,Included
514,1098.968,3,0.0592592593,514,0.1585960327,0.0,2.0,8,87,106,57,Full community,0.0,0.8207547169811321,Excluded,Excluded
534,545.2858,4,0.3518518519,534,0.1604605952,0.0,3.0,8,12,106,57,Full community,0.0,0.11320754716981132,Excluded,Included
600,245.3016,5,-0.0037037037,600,0.1653597292,0.0,3.0,8,88,106,57,Full community,0.0,0.8301886792452831,Excluded,Excluded
722,475.2262,6,-0.6804232804,722,0.1544613806,0.0,1.0,8,19,106,57,Full community,0.0,0.1792452830188679,Included,Included
770,488.2024,7,0.2047619048,770,0.1675994068,0.0,3.0,8,65,106,57,Full community,0.0,0.6132075471698113,Excluded,Excluded
845,299.6746,8,-0.6296296296,845,0.1657408653,0.0,2.0,8,16,106,57,Full community,0.0,0.1509433962264151,Included,Included
39,851.4326,0,0.3928571429,39,0.1834231699,0.0,2.0,9,67,88,49,Full community,1.0,0.7613636363636364,Excluded,Excluded
79,460.8643,1,0.0,79,0.1576891019,0.0,3.0,9,70,88,49,Full community,1.0,0.7954545454545454,Excluded,Excluded
497,599.6564,2,0.7976190476,497,0.162111973,0.0,4.0,9,54,88,49,Full community,1.0,0.6136363636363636,Excluded,Excluded
566,554.4191,3,-0.505952381,566,0.169978744,0.0,2.0,9,7,88,49,Full community,1.0,0.07954545454545454,Included,Included
642,201.7738,5,-0.2083333333,642,0.1662436548,0.0,2.0,9,29,88,49,Full community,1.0,0.32954545454545453,Excluded,Included
717,346.9061,6,0.3571428571,717,0.1721931253,0.0,2.0,9,55,88,49,Full community,1.0,0.625,Excluded,Excluded
969,974.2858,8,-0.8392857143,969,0.1591791174,0.0,2.0,9,3,88,49,Full community,1.0,0.03409090909090909,Included,Included
55,672.0714,0,0.7678571429,55,0.1660221465,0.0,3.0,11,62,62,35,Hybrid,0.0,1.0,Excluded,Excluded
104,468.6259,1,0.3005952381,104,0.1898319024,0.0,3.0,11,57,62,35,Hybrid,0.0,0.9193548387096774,Excluded,Excluded
159,140.2167,2,-0.4410714286,159,0.1587380747,0.0,1.0,11,2,62,35,Hybrid,0.0,0.03225806451612903,Included,Included
179,398.4155,3,0.1666666667,179,0.1533564815,0.0,1.0,11,32,62,35,Hybrid,0.0,0.5161290322580645,Excluded,Included
216,155.5811,4,-0.2,216,0.1337869871,0.0,2.0,11,8,62,35,Hybrid,0.0,0.12903225806451613,Excluded,Included
450,256.0691,5,-0.5035714286,450,0.154674559,0.0,1.0,11,17,62,35,Hybrid,0.0,0.27419354838709675,Included,Included
484,513.8036,6,0.2291666667,484,0.1790626961,0.0,2.0,11,50,62,35,Hybrid,0.0,0.8064516129032258,Excluded,Excluded
864,342.7143,8,-0.3196428571,864,0.1238136744,0.0,3.0,11,47,62,35,Hybrid,0.0,0.7580645161290323,Included,Excluded
131,369.5754,0,0.3174603175,131,0.124528512,0.0,2.0,12,67,73,35,Full community,0.0,0.9178082191780822,Excluded,Excluded
243,186.8661,1,-0.2222222222,243,0.1286891259,0.0,2.0,12,30,73,35,Full community,0.0,0.410958904109589,Excluded,Included
296,1430.072,2,0.7936507937,296,0.1227797774,0.0,3.0,12,69,73,35,Full community,0.0,0.9452054794520548,Excluded,Excluded
